text,category
"Rotary airlock valve motor bearing seized, shearing drive pin.",bearing_failure
"Boiler induced draft fan bearing housing smoking and vibrating excessively, shutdown required.",bearing_failure
"Chilled water pump #2 drive end bearing howling loudly, needs immediate replacement.",bearing_failure
Packaging line conveyor roller bearing seized and smoking.,bearing_failure
"Mixer agitator shaft sleeve bearing worn out, causing severe radial play.",bearing_failure
"Primary crusher flywheel bearing spalling badly, loud metallic knocking heard.",bearing_failure
Hydraulic power unit electric motor rear bearing binding up.,bearing_failure
"Ventilation supply fan sleeve bearing dry and screeching, oiled temporarily.",bearing_failure
"Slurry pump bearing assembly failed catastrophically, shaft scored.",bearing_failure
"Sifter drive bearing seized, motor thermal tripped.",bearing_failure
Compressor cooling fan motor bearing screaming at startup.,bearing_failure
Bucket elevator head pulley bearing vibrating way above baseline.,bearing_failure
"Stacker crane travel motor bearing locked, unit down in aisle 4.",bearing_failure
Rotary kiln drive pinion outboard bearing hot and rumbling.,bearing_failure
"Wastewater return pump #1 thrust bearing failing, high axial vibration.",bearing_failure
"Pneumatic blower motor drive-end bearing seizing, taking out shaft seals.",bearing_failure
Decanter centrifuge main bowl bearing high temp alarm triggered at 210F.,bearing_failure
Extruder gearbox high-speed shaft bearing metal particles found in oil filter.,bearing_failure
Palletizer lift motor brake-side bearing grinding intermittently.,bearing_failure
Induced draft damper actuator linkage bearing seized solid.,bearing_failure
"Vacuum pump motor bearing screaming under load, ready to fail.",bearing_failure
"Roller mill main journal bearing running extremely hot, grease purging black.",bearing_failure
Exhaust fan #3 motor bearing making high-pitched squealing noise at startup.,bearing_failure
"Feed water pump outboard sleeve bearing temp elevated to 185°F, schedule immediate inspection.",bearing_failure
"Conveyor belt return roller bearing seized completely, causing friction burn on belt edge.",bearing_failure
"Chiller compressor drive end bearing vibrating excessively at 60Hz, high vibration alarm triggered.",bearing_failure
Cooling tower fan gearbox output shaft bearing showing signs of severe spalling during routine oil analysis.,bearing_failure
"Main air compressor stage 2 rotor bearing failed, unit tripped on high motor amps.",bearing_failure
"Exhauster blower inboard bearing grease leaking out past seal, grinding noise reported by operators.",bearing_failure
"Emergency backup generator alternator bearing rumbling under load, replace before next test run.",bearing_failure
"Rotary kiln drive trunnion bearing operating 40 degrees above normal baseline, apply supplemental cooling.",bearing_failure
Boiler induced draft fan bearing housing hot to touch and emitting metallic clanking sounds.,bearing_failure
"Agitator tank shaft bearing seized up, shear pin snapped on drive coupling.",bearing_failure
"Package unit supply fan pillow block bearing loose on mounting bolts, causing heavy rattle.",bearing_failure
Hydraulic power unit electric motor rear bearing smoking; secured unit immediately for safety.,bearing_failure
"Pellet mill main roller bearing failure caused catastrophic jam, cleanup required.",bearing_failure
Centrifuge bowl assembly bearing vibration spike detected by predictive maintenance sensors.,bearing_failure
"Vacuum pump coupling end bearing dry and chattering, lubricate and inspect race condition.",bearing_failure
"Sump pump submerged sleeve bearing worn out, excessive shaft play noted during PM.",bearing_failure
Mixer gear reducer intermediate shaft bearing pitted and flaking metal into the oil sump.,bearing_failure
"Overhead crane bridge travel motor bearing seized, motor stalled and tripped thermal overload.",bearing_failure
Stacker crane hoist drum bearing grinding heavily when lifting rated loads.,bearing_failure
"Dust collector air lock rotary valve bearing locked up, sheared drive key.",bearing_failure
"Slurry pump impeller side bearing seal failed, abrasive grit washed out grease and ruined races.",bearing_failure
Air handling unit #7 belt drive bearing squealing intermittently on startup.,bearing_failure
Screw conveyor tail end bearing seized due to product ingress past failed dust seal.,bearing_failure
"Turbine generator auxiliary lube oil pump motor bearing failure, switched to backup.",bearing_failure
"Extruder barrel cooling fan bearing seized, thermal trip shut down line.",bearing_failure
Roller press drive side spherical roller bearing showing micro-spalling on outer ring.,bearing_failure
Packaging line sorting conveyor motor bearing humming loudly and running hot.,bearing_failure
"Deaerator feed pump inboard thrust bearing wiping white metal, low oil pressure alarm active.",bearing_failure
"Waste water paddle aerator gearbox output bearing seized, shaft locked solid.",bearing_failure
"Feed water pump outboard bearing temp spiked to 195F, vibration alarms active.",bearing_failure
"Conveyor belt tail pulley bearing seized completely, smoking and smoking belt.",bearing_failure
Idler roller bearing spalling badly on line 2 main conveyor section.,bearing_failure
Compressor stage 2 drive end sleeve bearing has heavy scoring and oil leak.,bearing_failure
Cooling tower fan gearbox output shaft bearing vibrating excessively at 1800 RPM.,bearing_failure
"Mixer agitator lower sleeve bearing seized, motor tripped on overcurrent.",bearing_failure
HVAC supply air blower bearing rumbling loudly; scheduled for replacement.,bearing_failure
Emergency backup generator alternator bearing showing high frequency vibration.,bearing_failure
"Crusher eccentric shaft bearing failure, loud grinding metal-on-metal noise.",bearing_failure
"Exhaust blower motor inboard bearing seized, belt snapped due to lockup.",bearing_failure
Chilled water pump NDE bearing running hot at 165F with audible rumble.,bearing_failure
"Stacker crane travel wheel bearing binding up under load, causing motor stall.",bearing_failure
Rotary kiln drive trunnion bearing showing severe spalling on roller elements.,bearing_failure
Boiler induced draft fan bearing screaming; immediate shutdown required.,bearing_failure
"Centrifuge bowl main bearing vibrating past 0.7 ips threshold, shutting down.",bearing_failure
Hydraulic power unit electric motor rear bearing seized and smoked out.,bearing_failure
"Pellet mill main roller bearing failed, metal debris found in grease purge.",bearing_failure
Air compressor air-end intake bearing screaming loudly under full load.,bearing_failure
"Screw compressor female rotor discharge bearing seized, unit tripped on hi-temp.",bearing_failure
"Agitator tank shaft bearing seized, shaft locked solid in sleeve.",bearing_failure
"Vacuum pump motor DE bearing making grinding noise, immediate attention needed.",bearing_failure
"Roller mill drive shaft bearing vibrating severely, grease is burnt black.",bearing_failure
"Sifters eccentric drive bearing spalled, generating heavy structural vibration.",bearing_failure
Washdown pump wet-end sleeve bearing seized due to water ingress.,bearing_failure
Exhaust fan unit 7 housing vibrating; bearing cage broken up internally.,bearing_failure
Cooling water booster pump outboard bearing squealing intermittently.,bearing_failure
Sludge press drive gearbox high-speed shaft bearing failed and seized.,bearing_failure
"Main air compressor oil-free screw bearing rumbling, metal particles in filter.",bearing_failure
"Packaging line conveyor curve roller bearing seized, stalling box flow.",bearing_failure
"Exhaust fan 2 motor outboard bearing making high pitch squeal, checked grease level and it is dry.",bearing_failure
"Conveyor 5 drive pulley bearing spalled and rattling loudly under load, needs immediate replacement.",bearing_failure
Main air compressor stage 2 rotor bearing temp spiked to 195F before auto-trip.,bearing_failure
"Cooling tower water pump #3 outboard sleeve bearing seizing up, smells like burnt oil and smoking slightly.",bearing_failure
"Boiler feed pump #1 inboard bearing vibrating excessively at 4.2 IPS, schedule shutdown.",bearing_failure
"Exhaust blower belt drive pillow block bearing cracked housing, severe misalignment noted.",bearing_failure
"Mixer agitator gearbox output shaft bearing seized solid, motor tripped on overload.",bearing_failure
HVAC air handler unit 4 supply fan bearing rumble getting louder during startup sequence.,bearing_failure
Emergency generator turbocharger bearing making metallic scraping noise when winding down.,bearing_failure
"Crusher feed conveyor tail pulley bearing locked up, belt friction burned through the rubber lagging.",bearing_failure
Chilled water loop pump #2 motor drive end bearing running hot at 165F with audible grinding.,bearing_failure
"Hydraulic power unit electric motor rear bearing failed completely, rotor rubbing stator.",bearing_failure
Induced draft fan inboard pedestal bearing showing high vibration spikes on FFT analyzer.,bearing_failure
"Packaging line roller conveyor bearing cage broke apart, ball bearings falling out onto floor.",bearing_failure
Rotary screw air compressor airend discharge bearing chattering badly under full load.,bearing_failure
Centrifugal pump #5 mechanical seal area soaked in oil from failed bearing isolator seal.,bearing_failure
"Ash handling screw conveyor flange bearing seizing up, current draw elevated by 15 amps.",bearing_failure
Cooling fan motor on extrusion line #3 sleeve bearing dry and screeching intermittently.,bearing_failure
"Main line exhaust fan bearing housing hot to touch, thermal gun reads 180F.",bearing_failure
"Clinker cooler drive motor non-drive end bearing humming loudly, grease purge shows metal flakes.",bearing_failure
"Vacuum pump #1 coupling end bearing failed, shaft has noticeable radial play.",bearing_failure
Sludge thickener rake drive gearbox intermediate shaft bearing spalled and grinding.,bearing_failure
"Boiler induced draft fan damper actuator linkage bearing seized, preventing auto-modulation.",bearing_failure
"Rotary airlock valve drive bearing locked up, sheared the shear pin on the sprocket.",bearing_failure
"Fresh air makeup unit fan bearing vibrating heavily, unit shaking structural steel frame.",bearing_failure
"Pellet mill main shaft roller bearing seized during production run, emergency work order.",bearing_failure
"Air compressor cooling fan bearing screaming at high RPM, needs replacement ASAP.",bearing_failure
"Wastewater lift station submersible pump lower bearing failed, high stator winding temps.",bearing_failure
Stacker crane travel motor bearing failure caused catastrophic jamming of the bridge drive.,bearing_failure
"Boiler feedwater booster pump bearing making rhythmic knocking noise, vibration increasing.",bearing_failure
"Feed conveyor tail pulley bearing making grinding noise during operation, needs grease and inspection.",bearing_failure
"Exhaust fan motor drive-end bearing vibrating excessively at 1800 RPM, high temp reading on thermography.",bearing_failure
Air compressor stage 2 rotor bearing showing severe spalling and metal shavings in the oil sight glass.,bearing_failure
"Cooling tower fan gearbox input shaft bearing rumbling under load, scheduled for weekend replacement.",bearing_failure
"Boiler feedwater pump non-drive end bearing hot to the touch at 185F, high vibration alarm active.",bearing_failure
"Rotary kiln drive trunnion bearing operating above normal temp thresholds, applied emergency lube with minimal drop.",bearing_failure
"HVAC air handler blower bearing squealing intermittently, belt tension checked and OK.",bearing_failure
"Primary crusher main shaft roller bearing failure, loud knocking sound and immediate unit shutdown.",bearing_failure
"Agitator tank mixing shaft lower sleeve bearing worn out, causing radial play and seal leakage.",bearing_failure
"Package conveyor return roller bearing seized and smoking, belt friction damage observed.",bearing_failure
"Hydraulic power unit electric motor front bearing loud humming and vibration spike, replacement required.",bearing_failure
Induced draft fan outboard bearing housing cracked from severe unbalance caused by bearing lockup.,bearing_failure
"Screw conveyor discharge end bearing completely seized, snapping the shear pin.",bearing_failure
"Chilled water circulation pump seal water flush adjusted, but drive-end bearing still rumbling loudly.",bearing_failure
"Debarker infeeds log roller bearing fractured cage, roller elements migrating out of race.",bearing_failure
"Stacker crane travel motor bearing binding, causing intermittent drive faults on axis 2.",bearing_failure
Pneumatic blower inlet bearing high pitch whistle and elevated vibration spectra on FFT analysis.,bearing_failure
"Pellet mill roller assembly main bearing failure, metal debris found in the die cavity.",bearing_failure
"Vacuum pump motor inboard bearing roaring, amperage drawing 15% above normal FLA.",bearing_failure
Reciprocating compressor crankcase connecting rod big end bearing knocking on every stroke.,bearing_failure
"Ejection press flywheel pilot bearing seized, preventing smooth manual rotation during setup.",bearing_failure
"Sifter deck eccentric shaft bearing overheating and seizing up, shutting down line 4.",bearing_failure
Exhauster fan housing inspection reveals catastrophic bearing spalling with inner ring spinning on shaft.,bearing_failure
Centrifuge bowl assembly main support bearing vibration tripping interlock at high speed.,bearing_failure
"Transfer car wheel bearing seized, flat spot worn into steel wheel tread.",bearing_failure
"Ash handling system rotary valve drive bearing locked up, sheared drive coupling.",bearing_failure
"Cooling water booster pump motor bearing failure, high vibration in horizontal plane.",bearing_failure
"Mixing paddle shaft outboard pillow block bearing dry and noisy, greasing port blocked.",bearing_failure
"Slurry pump gland water flush lost, causing immediate thermal runaway and sleeve bearing seizure.",bearing_failure
Primary cooling fan motor outboard bearing making high-pitched squealing noise at 1800 RPM.,bearing_failure
"Conveyor drive pulley bearing seized up, smoking heavily upon startup; shut down immediately.",bearing_failure
Exhaust fan #3 vibrating excessively; thermal imaging shows drive-end bearing running at 195F.,bearing_failure
Cooling tower pump inboard sleeve bearing shows signs of scoring and metal shavings in oil reservoir.,bearing_failure
Chiller compressor motor rear bearing spalling and rumbling loudly under load.,bearing_failure
"AHU blower belt drive bearing failed catastrophically, throwing balls and seizing the shaft.",bearing_failure
Boiler feedwater pump non-drive end bearing temp spiking to 210 psi equivalent thermal reading.,bearing_failure
Rotary air compressor stage 2 rotor bearing making a loud metallic grinding sound.,bearing_failure
"Package handling conveyor roller bearing locked up, shredding the underside of the rubber belt.",bearing_failure
Induction motor DE bearing showing high vibration FFT spikes at 1X and 2X ball pass frequencies.,bearing_failure
Slurry pump mechanical seal housing hot; probable bearing failure transferring heat and vibration.,bearing_failure
Ventilation supply fan pillow block bearing is severely pitted and needs immediate replacement.,bearing_failure
Mixer agitator gearbox output shaft bearing roaring under torque; grease is black and burnt.,bearing_failure
ID fan bearing housing vibrating at 7.8 ips; unit tripping on high vibration interlock.,bearing_failure
Vacuum pump motor bearing seizing intermittently during high vacuum draw cycles.,bearing_failure
Crusher feed conveyor tail pulley bearing dry and squealing; needs emergency greasing or replacement.,bearing_failure
Hydraulic power unit electric motor rear bearing making cyclic ticking noise.,bearing_failure
"Air handler unit #5 fan shaft bearing seized, tripping thermal overload relay.",bearing_failure
"Centrifugal pump #2 thrust bearing worn out, allowing excessive axial shaft play.",bearing_failure
Cooling water booster pump outboard bearing rumbling loudly; grease purged black.,bearing_failure
Main compressor drive motor front bearing operating at 180F with loud rhythmic knocking.,bearing_failure
Palletizer lift motor sleeve bearing scored and binding at mid-stroke.,bearing_failure
Baghouse exhaust blower bearing failure caused impeller to rub against housing shroud.,bearing_failure
Sinter plant feeder conveyor bearing seized due to dust ingress and lack of lubrication.,bearing_failure
Emergency generator engine accessory drive bearing squealing loudly on cold start.,bearing_failure
Sludge dewatering centrifuge main bowl bearing showing high frequency vibration anomalies.,bearing_failure
"Air compressor cooling fan motor bearing seized, causing unit thermal shutdown.",bearing_failure
"Rotary kiln drive pinion outboard bearing spalling heavily, emitting grinding noise.",bearing_failure
Boiler draft fan bearing vibrating out of spec; technician noted heavy metal-on-metal sound.,bearing_failure
"Water treatment plant backwash pump bearing failed, locking the shaft and tripping breaker.",bearing_failure
"Motor #3 DE bearing screaming on startup, high vibration noted in 100-300 Hz band.",bearing_failure
Exhaust fan unit 2 vibrating excessively due to outer race spalling on the NDE bearing.,bearing_failure
Cooling tower pump bearing running hot at 185F with a loud metallic grinding noise.,bearing_failure
Air compressor stage 2 rotor bearing showing elevated temp and metal flakes in oil sample.,bearing_failure
"Chilled water pump #1 sleeve bearing wiped out, shaft scoring evident during inspection.",bearing_failure
Blower motor inboard bearing making a rhythmic ticking noise under load.,bearing_failure
"Crusher drive gearbox output shaft bearing failed, catastrophic lockup on line 2.",bearing_failure
Agitator tank vertical drive bearing rumbling loudly during high-RPM mixing cycles.,bearing_failure
"Package line conveyor roller bearing seized, causing product jam at transfer point.",bearing_failure
"Boiler feedwater pump non-drive end bearing failure, unit tripped on high vibration.",bearing_failure
Rotary kiln drive trunnion bearing operating above normal thermal baseline.,bearing_failure
HVAC supply fan bearing housing hot to the touch and emitting a squealing sound.,bearing_failure
Centrifuge spindle bearing vibration levels exceeded the 0.45 ips alarm threshold.,bearing_failure
"Packaging machine servo motor bearing seized, blowing the internal drive fuse.",bearing_failure
"Pellet mill main roller bearing spalled severely, heavy vibration shaking the frame.",bearing_failure
"Hydraulic power unit cooling fan bearing seized, causing thermal trip on main motor.",bearing_failure
"Exhaust scrubber draft fan bearing roaring loudly, immediate replacement needed.",bearing_failure
Stacker crane travel motor bearing failure caused the carriage to bind mid-run.,bearing_failure
Exhaust blower bearing grease purged black with visible metallic debris.,bearing_failure
"Rotary airlock valve drive bearing seized, shearing the shear pin on the drive shaft.",bearing_failure
"Sinter plant pug mill bearing failure, housing fractured from excessive vibration.",bearing_failure
Cooling water booster pump bearing seized during shift change.,bearing_failure
Air handler unit #4 belt drive bearing screeching on startup.,bearing_failure
Main line turbine fan bearing reading 210F with severe axial vibration.,bearing_failure
Mixer drum support bearing rolling elements pitted and spalled on inspection.,bearing_failure
Deaerator pump bearing making a loud rattling noise at 3600 RPM.,bearing_failure
Ash handling screw conveyor tail bearing seized and smoking.,bearing_failure
"ID fan outboard bearing failure, high vibration trip activated.",bearing_failure
Drawbench carriage guide roller bearing seized on rail.,bearing_failure
Exhaust fan #3 motor bearing grinding loudly upon startup.,bearing_failure
Cooling tower pump inboard bearing temp elevated to 185F with heavy vibration.,bearing_failure
"Conveyor belt tail pulley bearing seized completely, belt stalled.",bearing_failure
Compressor stage 2 drive end bearing spalling detected via acoustic monitoring.,bearing_failure
Air handling unit blower bearing making a squealing noise at high RPM.,bearing_failure
Exhauster fan motor bearing failure causing high vibration trip on PLC.,bearing_failure
"Boiler feedwater pump non-drive end sleeve bearing wiped out, heavy metal debris in oil sample.",bearing_failure
Chilled water pump coupling side bearing roaring under load.,bearing_failure
Primary crusher drive gearbox intermediate shaft bearing showing high vibration levels.,bearing_failure
"Exhaust blower pillow block bearing seized, belt smoking.",bearing_failure
"Ventilation fan bearing failure, unit locked out for safety.",bearing_failure
Hydraulic power unit electric motor rear bearing smoking and throwing grease.,bearing_failure
Agitator drive shaft lower sleeve bearing scored and binding.,bearing_failure
"Centrifugal pump #2 thrust bearing failure, high axial play noted.",bearing_failure
Rotary screw compressor airend discharge bearing rumbling excessively.,bearing_failure
"Rotary air lock valve motor outboard bearing seized, thermal overload tripped.",bearing_failure
"Cooling fan motor bearing failed, unit dropped offline.",bearing_failure
Exhaust stack damper actuator gearbox bearing seized up.,bearing_failure
"Industrial washer recirc pump bearing screaming, immediate replacement required.",bearing_failure
"Conveyor drive roller bearing rolling elements fractured, loud metallic banging.",bearing_failure
ID fan inboard bearing running hot at 210F with severe high-frequency vibration.,bearing_failure
"Wastewater scum pump drive end bearing seized, motor thermal tripped.",bearing_failure
Cooling tower fan gearbox output shaft bearing spalled and leaking oil.,bearing_failure
"Pneumatic blower motor front bearing seized, shaft won't turn manually.",bearing_failure
Mixer tank agitator upper bearing rattling loudly at 1200 RPM.,bearing_failure
"Sump pump lower sleeve bearing worn out, impellers rubbing housing.",bearing_failure
Dust collector fan motor bearing smoking upon startup.,bearing_failure
Extruder gearbox high-speed shaft bearing vibrating excessively.,bearing_failure
Rotary kiln drive trunnion bearing operating hot with metal flakes in lube line.,bearing_failure
Boiler draft fan bearing failure caused immediate emergency shutdown.,bearing_failure
Exhaust fan motor drive-end bearing screeching loudly during startup.,bearing_failure
"Infeed conveyor tail pulley bearing seized completely, belt slipping.",bearing_failure
Centrifugal pump #2 outboard bearing running hot at 185F with heavy vibration.,bearing_failure
Cooling tower fan gearbox intermediate shaft bearing showing spalling on outer race.,bearing_failure
Air compressor main drive sleeve bearing making low rumbling noise under load.,bearing_failure
"Exhauster blower inboard bearing failed, catastrophic seizure tripped breaker.",bearing_failure
Mixer agitator drive bearing vibrating excessively at 60Hz.,bearing_failure
"Hydraulic power unit motor bearing grease purging out past seal, noisy.",bearing_failure
"Vacuum pump motor non-drive end bearing hot and noisy, schedule replacement.",bearing_failure
"Boiler feedwater pump #1 outboard sleeve bearing wiped, low oil pressure alarm.",bearing_failure
"Aggregates conveyor roller bearing seized, causing drag and smoke.",bearing_failure
"Chilled water pump coupling-end bearing humming loudly, high vibration spectra.",bearing_failure
Industrial washing machine drum support bearing grinding during spin cycle.,bearing_failure
"Stoker drive gear reducer output bearing spalled, metal shavings in oil sight glass.",bearing_failure
"HVAC air handler supply fan bearing rumbling, high vibration in horizontal axis.",bearing_failure
Extruder barrel cooling fan motor bearing seized up.,bearing_failure
"Package line conveyor curve bearing dry and squealing, needs immediate grease.",bearing_failure
Sludge thickener rake drive main support bearing binding up.,bearing_failure
Pneumatic blower inlet bearing making metallic rattling noise.,bearing_failure
Palletizer lift mechanism guide roller bearing seized on track.,bearing_failure
Diesel generator turbocharger bearing whining under high boost.,bearing_failure
"Positive displacement blower drive-end bearing failing, high radial vibration.",bearing_failure
Rotary drum dryer trunnion bearing operating above normal temp threshold.,bearing_failure
"Screw compressor air-end bearings worn out, excessive end play.",bearing_failure
"Dust collector fan inboard bearing vibrating heavily, grease contaminated.",bearing_failure
"Main assembly line drive motor rear bearing seized, motor stalled.",bearing_failure
"Slurry pump bearing housing hot to touch, bearing failure imminent.",bearing_failure
"Centrifuge bowl assembly main support bearing failed, unbalance trip.",bearing_failure
"Pump shaft bearing seized, unit 4",bearing_failure
High vibration detected on exhaust fan motor inboard bearing,bearing_failure
Conveyor drive pulley sleeve bearing making loud squealing noise under load,bearing_failure
Air compressor stage 2 motor bearing temp running 45F above baseline,bearing_failure
Cooling tower fan gearbox output bearing spalling observed during oil analysis,bearing_failure
"Critical failure: agitator tank main support bearing locked up, tripping VFD",bearing_failure
Exhaust blower pillow block bearing showing early signs of fretting and rust,bearing_failure
"Centrifugal pump thrust bearing failed, severe axial play on shaft",bearing_failure
Cooling water booster pump non-drive end bearing humming loudly,bearing_failure
ID fan outboard bearing grease purged black with metal flakes present,bearing_failure
"Rotary airlock valve drive bearing seized, sheared coupling pin",bearing_failure
Extruder gear reducer intermediate shaft bearing overheating at 190F,bearing_failure
HVAC supply air unit fan bearing failure causing severe duct vibration,bearing_failure
Sinter feed conveyor tail drum bearing seized and smoking,bearing_failure
"Vacuum pump rotor bearing failure, internal rubbing heard",bearing_failure
Chilled water pump drive end bearing is rumbling and needs replacement,bearing_failure
Vertical turbine pump line shaft sleeve bearing worn out of tolerance,bearing_failure
Boiler feed pump outboard bearing high vibration 0.45 ips,bearing_failure
Pellet mill main roller bearing spalled and seizing up,bearing_failure
"Packaging line conveyor roller bearing locked, shredding belt",bearing_failure
Ash handling screw conveyor hanger bearing failed completely,bearing_failure
Crusher motor drive bearing making metallic grinding noise,bearing_failure
Scrubber recirculation pump bearing housing hot to the touch,bearing_failure
"Air handler belt-drive blower bearing failure, loud howling sound",bearing_failure
Rotary kiln drive trunnion bearing operating at elevated temp,bearing_failure
Hydraulic power unit electric motor bearing noisy,bearing_failure
Wastewater clarifier drive cage bearing seizing under torque,bearing_failure
"Pneumatic blower inlet bearing failure, severe shaft wobble",bearing_failure
Mixer tank upper agitator bearing grinding during batch cycle,bearing_failure
Emergency generator cooling fan motor bearing seized during test run,bearing_failure
"Exhaust fan #3 motor is screaming on startup, high pitch squeal points to dry sleeve bearing.",bearing_failure
"Infeed conveyor tail pulley bearing is running extremely hot to the touch, thermal gun reads 195F.",bearing_failure
Cooling tower water pump drive-end bearing has a loud metallic rattle and excessive radial play.,bearing_failure
Severe vibration spike detected on main air compressor #2 outboard bearing housing.,bearing_failure
"Boiler feed pump #1 inboard sleeve bearing seized completely, motor tripped on overcurrent.",bearing_failure
Chilled water circulation pump making a grinding noise; probable spalling on the non-drive end bearing.,bearing_failure
Exhauster fan bearing failure caused catastrophic belt shredding and smoke in the penthouse.,bearing_failure
Rotary airlock valve gearbox output shaft bearing is locking up intermittently.,bearing_failure
"Centrifugal blower bearing grease purge is full of metal flakes, needs immediate replacement.",bearing_failure
"ID fan #4 inboard roller bearing temperature climbing rapidly under load, currently at 210F.",bearing_failure
Package unit supply fan bearing housing is vibrating violently at 1800 RPM.,bearing_failure
Sleeve bearing on agitator motor #2 is smoking and smells of scorched grease.,bearing_failure
Hydraulic power unit electric motor DE bearing is rumbling loudly during operation.,bearing_failure
Screw compressor main rotor roller bearing showing high vibration FFT spectrum anomalies.,bearing_failure
Cooling fan motor on extruder line #3 has a seized rear bearing.,bearing_failure
Clinker cooler drag chain drive shaft pillow block bearing has cracked housing and seized rollers.,bearing_failure
"Wastewater scum pump mechanical seal area flooded, water washed out bearing grease causing failure.",bearing_failure
AHU-2 blower bearing is squealing intermittently on startup.,bearing_failure
Primary crusher eccentric bearing temperature high alarm triggered at 230F.,bearing_failure
Pulverizer mill primary journal bearing exhibiting severe rhythmic knocking and high vibration.,bearing_failure
"Rotary kiln drive trunnion bearing lubrication line blocked, bearing smoking.",bearing_failure
"Pneumatic transfer blower outboard bearing seized, shutting down line B.",bearing_failure
Exhaust scrubber recirculation pump bearing is making a heavy grinding noise.,bearing_failure
"Cooling tower fan gearbox intermediate shaft bearing has failed, loud roaring sound.",bearing_failure
Line 5 palletizer conveyor snub pulley bearing seized and shredded the belt.,bearing_failure
Boiler induced draft fan outboard bearing vibration levels exceed ISO limits.,bearing_failure
Centrifuge feed pump thrust bearing failure caused axial shaft displacement.,bearing_failure
"Air compressor stage 2 rotor bearing is rumbling, scheduling emergency shutdown.",bearing_failure
"Exhaust ventilation fan sleeve bearing has worn oval, causing rotor to rub on stator.",bearing_failure
Exhaust fan #3 motor drive end bearing making loud squealing noise at high RPM.,bearing_failure
"Conveyor tail pulley bearing seizing up, belt smoking slightly under load.",bearing_failure
"Boiler feedwater pump outboard sleeve bearing temp elevated to 195F, immediate grease added.",bearing_failure
Main air compressor stage 2 rotor bearing spalling detected via vibration analysis route.,bearing_failure
"AHU-2 supply fan pillow block bearing completely seized, unit tripped on thermal overload.",bearing_failure
Agitator drive motor inboard bearing roaring loudly during batch cycle.,bearing_failure
"Crusher conveyor roller bearing locked solid, causing friction wear on belt edge.",bearing_failure
"Chilled water pump #1 non-drive end bearing housing hot to touch, heavy rumble present.",bearing_failure
"Exhauster blower radial bearing failure, high vibration trip activated on PLC.",bearing_failure
"Cooling fan #5 sleeve bearing oil ring stuck, running dry and smoking.",bearing_failure
