text,category,clean_text,label
Cooling tower fan 2 VFD internal software fault cleared after clearing fault buffer.,software_control_fault,cooling tower fan 2 vfd internal software fault cleared after clearing fault buffer,6
"Crusher conveyor roller bearing locked solid, causing friction wear on belt edge.",bearing_failure,crusher conveyor roller bearing locked solid causing friction wear on belt edge,0
Proximity sensor on stamping press top dead center failing to register home position.,sensor_malfunction,proximity sensor on stamping press top dead center failing to register home position,5
"Fitting on accumulator dump valve stripped, spraying fluid under 1500 psi.",hydraulic_leak,fitting on accumulator dump valve stripped spraying fluid under 1500 psi,3
"Sump pump lower sleeve bearing worn out, impellers rubbing housing.",bearing_failure,sump pump lower sleeve bearing worn out impellers rubbing housing,0
Idler roller bearing spalling badly on line 2 main conveyor section.,bearing_failure,idler roller bearing spalling badly on line 2 main conveyor section,0
"Pitting corrosion on the internal housing of positive displacement blower PDB-02, causing drop in volumetric efficiency.",corrosion,pitting corrosion on the internal housing of positive displacement blower pdb-02 causing drop in volumetric efficiency,1
Exhaust duct expansion joint rubber bellows torn from thermal fatigue and age.,wear_and_tear,exhaust duct expansion joint rubber bellows torn from thermal fatigue and age,7
Crusher feed conveyor tail pulley bearing dry and squealing; needs emergency greasing or replacement.,bearing_failure,crusher feed conveyor tail pulley bearing dry and squealing needs emergency greasing or replacement,0
"Main drive belt on Conveyor Line 3 showing significant fraying and cracking along edges, needs replacement before failure.",wear_and_tear,main drive belt on conveyor line 3 showing significant fraying and cracking along edges needs replacement before failure,7
Overhead crane bridge drive motor thermal switch open continuously due to severe internal winding degradation.,electrical_fault,overhead crane bridge drive motor thermal switch open continuously due to severe internal winding degradation,2
"Cooling tower circulation pump bearing temp elevated at 180F, needs grease.",overheating,cooling tower circulation pump bearing temp elevated at 180f needs grease,4
"Flange bolt sheared on hydraulic pump discharge, major oil loss.",hydraulic_leak,flange bolt sheared on hydraulic pump discharge major oil loss,3
Sleeve bearing on agitator motor #2 is smoking and smells of scorched grease.,bearing_failure,sleeve bearing on agitator motor 2 is smoking and smells of scorched grease,0
SCADA alarm storm triggered by intermittent network switch failure in control room rack B.,software_control_fault,scada alarm storm triggered by intermittent network switch failure in control room rack b,6
"Reactor vessel RTD thermocouple wire severed inside thermowell, error code on PLC.",sensor_malfunction,reactor vessel rtd thermocouple wire severed inside thermowell error code on plc,5
Overhead crane bridge PLC throwing checksum error on position encoder input.,software_control_fault,overhead crane bridge plc throwing checksum error on position encoder input,6
"HVAC unit 4 controller firmware locked up, dropping network packets to the BMS server.",software_control_fault,hvac unit 4 controller firmware locked up dropping network packets to the bms server,6
Chiller unit 3 controller showing fatal kernel error on startup.,software_control_fault,chiller unit 3 controller showing fatal kernel error on startup,6
"Extruder barrel zone 4 heater band stuck ON, causing catastrophic local overheating of polymer.",overheating,extruder barrel zone 4 heater band stuck on causing catastrophic local overheating of polymer,4
"Extruder barrel zone 4 heater thermocouple reading ambient, plastic burning in the zone.",sensor_malfunction,extruder barrel zone 4 heater thermocouple reading ambient plastic burning in the zone,5
Corroded electrical conduit on rooftop chiller unit; wires exposed to moisture and weather.,corrosion,corroded electrical conduit on rooftop chiller unit wires exposed to moisture and weather,1
Exhaust blower motor smoking; winding insulation failed completely.,electrical_fault,exhaust blower motor smoking winding insulation failed completely,2
"Main air compressor oil temp gauge pegged high, thermal imaging shows actual temp is normal, replace RTD probe",sensor_malfunction,main air compressor oil temp gauge pegged high thermal imaging shows actual temp is normal replace rtd probe,5
Heavy scale build-up inside plate heat exchanger channels restricting flow and dropping differential pressure across unit.,corrosion,heavy scale build-up inside plate heat exchanger channels restricting flow and dropping differential pressure across unit,1
Cooling tower fan gearbox oil temp gauge pegged in the red zone.,overheating,cooling tower fan gearbox oil temp gauge pegged in the red zone,4
"Infeed conveyor tail pulley bearing making grinding noise, inspect ASAP.",bearing_failure,infeed conveyor tail pulley bearing making grinding noise inspect asap,0
Roller press drive side spherical roller bearing showing micro-spalling on outer ring.,bearing_failure,roller press drive side spherical roller bearing showing micro-spalling on outer ring,0
"Rotary screw compressor drive motor winding shorted out, safety breaker blown.",electrical_fault,rotary screw compressor drive motor winding shorted out safety breaker blown,2
Pneumatic actuator rod bushing has excessive play causing side-load wear on the shaft.,wear_and_tear,pneumatic actuator rod bushing has excessive play causing side-load wear on the shaft,7
"Inlet pressure transmitter PT-102 reading zero output to PLC, loop power confirmed good.",sensor_malfunction,inlet pressure transmitter pt-102 reading zero output to plc loop power confirmed good,5
"Cooling tower fan 1 vibration spike detected by accelerometer, inspect mounting stud and cable.",sensor_malfunction,cooling tower fan 1 vibration spike detected by accelerometer inspect mounting stud and cable,5
"Severe pitting on the impeller blades of cooling tower pump B, resulting in reduced discharge pressure.",corrosion,severe pitting on the impeller blades of cooling tower pump b resulting in reduced discharge pressure,1
Line 2 conveyor drive gearbox smoking and emitting a burning gear oil smell under normal load.,overheating,line 2 conveyor drive gearbox smoking and emitting a burning gear oil smell under normal load,4
"Insulation degradation on crane hoist motor brake coil, causing intermittent failure to release.",electrical_fault,insulation degradation on crane hoist motor brake coil causing intermittent failure to release,2
"Hydraulic power unit #2 fluid temp spiked to 160°F, heat exchanger fan not kicking on.",overheating,hydraulic power unit 2 fluid temp spiked to 160 f heat exchanger fan not kicking on,4
Cooling tower fan 1 vibration trip ignored by PLC due to misconfigured interlock bit.,software_control_fault,cooling tower fan 1 vibration trip ignored by plc due to misconfigured interlock bit,6
Hydraulic power unit electric motor rear bearing smoking; secured unit immediately for safety.,bearing_failure,hydraulic power unit electric motor rear bearing smoking secured unit immediately for safety,0
"Firmware crash on mixing tank 1 controller after routine parameter update, manual override engaged.",software_control_fault,firmware crash on mixing tank 1 controller after routine parameter update manual override engaged,6
Boiler feed pump motor thermal overload tripped twice this shift.,overheating,boiler feed pump motor thermal overload tripped twice this shift,4
Pinhole leak spraying synthetic fluid onto exhaust guard of diesel power pack.,hydraulic_leak,pinhole leak spraying synthetic fluid onto exhaust guard of diesel power pack,3
"Rotary kiln drive trunnion bearing operating above normal temp thresholds, applied emergency lube with minimal drop.",bearing_failure,rotary kiln drive trunnion bearing operating above normal temp thresholds applied emergency lube with minimal drop,0
Sortation conveyor photo-eye input stuck high in logic despite physical beam being clear.,software_control_fault,sortation conveyor photo-eye input stuck high in logic despite physical beam being clear,6
"Hydraulic unit oil level float switch stuck, giving persistent low-level alarm on clean tank.",sensor_malfunction,hydraulic unit oil level float switch stuck giving persistent low-level alarm on clean tank,5
"PT-102 discharge temp sensor reading high erratic, flashing fault on HMI.",sensor_malfunction,pt-102 discharge temp sensor reading high erratic flashing fault on hmi,5
Washdown pump wet-end sleeve bearing seized due to water ingress.,bearing_failure,washdown pump wet-end sleeve bearing seized due to water ingress,0
Industrial washer spray header swivel joints leaking due to worn O-rings.,wear_and_tear,industrial washer spray header swivel joints leaking due to worn o-rings,7
Palletizer robot stalled mid-cycle after corrupt motion profile packet received.,software_control_fault,palletizer robot stalled mid-cycle after corrupt motion profile packet received,6
Main breaker for packaging line tripped on fault; found burnt wiring inside junction box.,electrical_fault,main breaker for packaging line tripped on fault found burnt wiring inside junction box,2
Seep at manifold block port B-2 on conveyor #6 belt lift mechanism.,hydraulic_leak,seep at manifold block port b-2 on conveyor 6 belt lift mechanism,3
Intermittent data packet loss between PLC rack 1 and remote I/O drop 3.,software_control_fault,intermittent data packet loss between plc rack 1 and remote i o drop 3,6
Loose bulkhead fitting letting hydraulic oil bypass on the parts washing conveyor.,hydraulic_leak,loose bulkhead fitting letting hydraulic oil bypass on the parts washing conveyor,3
"Flange bolts on primary cooling water return valve heavily oxidized and seized, requires cutting torch for removal.",corrosion,flange bolts on primary cooling water return valve heavily oxidized and seized requires cutting torch for removal,1
Intermittent ground fault on Packager 4 variable frequency drive; suspect degraded shielding on motor cable.,electrical_fault,intermittent ground fault on packager 4 variable frequency drive suspect degraded shielding on motor cable,2
"Slitter rewind motor overheating intermittently, cooling fins caked in paper dust and adhesive.",overheating,slitter rewind motor overheating intermittently cooling fins caked in paper dust and adhesive,4
"Pin-hole leak on pressure gauge line at 3000 psi manifold, shutting down line.",hydraulic_leak,pin-hole leak on pressure gauge line at 3000 psi manifold shutting down line,3
Main breaker for air compressor #4 tripped due to ground fault on intake heater circuit.,electrical_fault,main breaker for air compressor 4 tripped due to ground fault on intake heater circuit,2
"Vacuum pump vane slots worn, losing ultimate vacuum pressure.",wear_and_tear,vacuum pump vane slots worn losing ultimate vacuum pressure,7
"Centrifuge 1 vibration pickup loose on bearing housing, generating false high-vib alarms.",sensor_malfunction,centrifuge 1 vibration pickup loose on bearing housing generating false high-vib alarms,5
Emergency generator cooling fan motor bearing seized during test run,bearing_failure,emergency generator cooling fan motor bearing seized during test run,0
"Main line conveyor motor hot to touch, thermal overload relay needs replacement.",overheating,main line conveyor motor hot to touch thermal overload relay needs replacement,4
"Booster pump feed cable insulation chafed against conduit edge, causing intermittent ground fault.",electrical_fault,booster pump feed cable insulation chafed against conduit edge causing intermittent ground fault,2
Cracked banjo bolt on brake caliper hydraulic line leaking fluid and reducing pressure.,hydraulic_leak,cracked banjo bolt on brake caliper hydraulic line leaking fluid and reducing pressure,3
"Exhaust fan motor housing running hot to touch, approx 85C at bearings.",overheating,exhaust fan motor housing running hot to touch approx 85c at bearings,4
"Screw compressor inlet valve Teflon seat chewed up, failing to seal off.",wear_and_tear,screw compressor inlet valve teflon seat chewed up failing to seal off,7
Conveyor 5 VFD throwing fault code F012 due to corrupted speed reference register in control logic.,software_control_fault,conveyor 5 vfd throwing fault code f012 due to corrupted speed reference register in control logic,6
"Submersible sump pump stator winding insulation degraded from running dry, thermal cut-out tripped.",overheating,submersible sump pump stator winding insulation degraded from running dry thermal cut-out tripped,4
"Main line butterfly valve seat degraded, allowing bypass leakage when fully closed.",wear_and_tear,main line butterfly valve seat degraded allowing bypass leakage when fully closed,7
"Pneumatic valve 104 positioner feedback pot worn out, hunting continuously between 0 and 100%.",sensor_malfunction,pneumatic valve 104 positioner feedback pot worn out hunting continuously between 0 and 100,5
"TE-55 extrusion barrel zone 3 thermocouple snapped inside thermowell, heater band running red hot.",sensor_malfunction,te-55 extrusion barrel zone 3 thermocouple snapped inside thermowell heater band running red hot,5
Heavy rust scale on Gearbox GB-08 casing; oil sight glass obscured and breather vent completely plugged.,corrosion,heavy rust scale on gearbox gb-08 casing oil sight glass obscured and breather vent completely plugged,1
"Batch mixer PLC ladder logic scan time exceeded threshold, causing safety interlock timeout.",software_control_fault,batch mixer plc ladder logic scan time exceeded threshold causing safety interlock timeout,6
"Rotary kiln drive motor cooling fan disconnected, motor casing overheating rapidly.",overheating,rotary kiln drive motor cooling fan disconnected motor casing overheating rapidly,4
Extruder barrel pressure sensor output frozen at max scale.,sensor_malfunction,extruder barrel pressure sensor output frozen at max scale,5
"Blown high-pressure hose on bucket tilt circuit of wheel loader, zero pressure holding.",hydraulic_leak,blown high-pressure hose on bucket tilt circuit of wheel loader zero pressure holding,3
HVAC air handler 3 damper actuator hunting endlessly due to unstable control loop tuning in PLC.,software_control_fault,hvac air handler 3 damper actuator hunting endlessly due to unstable control loop tuning in plc,6
Boiler 2 feedwater valve actuator position feedback erratic on HMI graphic.,software_control_fault,boiler 2 feedwater valve actuator position feedback erratic on hmi graphic,6
"Hydraulic power unit cooling fan bearing seized, causing thermal trip on main motor.",bearing_failure,hydraulic power unit cooling fan bearing seized causing thermal trip on main motor,0
"Sludge pump motor tripped thermal overload twice today, high megger readings indicate failing insulation on phase A.",electrical_fault,sludge pump motor tripped thermal overload twice today high megger readings indicate failing insulation on phase a,2
"Sifter deck eccentric shaft bearing overheating and seizing up, shutting down line 4.",bearing_failure,sifter deck eccentric shaft bearing overheating and seizing up shutting down line 4,0
Submersible sump pump thermal overload tripped; motor housing coated in sludge.,overheating,submersible sump pump thermal overload tripped motor housing coated in sludge,4
Exhaust fan #3 motor bearing making high-pitched squealing noise at startup.,bearing_failure,exhaust fan 3 motor bearing making high-pitched squealing noise at startup,0
Rotary indexer stepper motor controller firmware locked up on error state 9.,software_control_fault,rotary indexer stepper motor controller firmware locked up on error state 9,6
Chiller unit 4 safety interlock relay stuck open in software logic tree.,software_control_fault,chiller unit 4 safety interlock relay stuck open in software logic tree,6
"Paint booth air intake differential pressure sensor failed, ventilation interlock engaged.",sensor_malfunction,paint booth air intake differential pressure sensor failed ventilation interlock engaged,5
Motor inboard bearing making a loud screeching noise during startup on exhaust fan 3.,bearing_failure,motor inboard bearing making a loud screeching noise during startup on exhaust fan 3,0
"Wastewater scum pump drive end bearing seized, motor thermal tripped.",bearing_failure,wastewater scum pump drive end bearing seized motor thermal tripped,0
Air compressor 3 intercooler temp probe intermittent open circuit alarm.,sensor_malfunction,air compressor 3 intercooler temp probe intermittent open circuit alarm,5
"Chilled water circulation pump seal flush line restricted, stuffing box running hot.",overheating,chilled water circulation pump seal flush line restricted stuffing box running hot,4
"Cooling tower fan gearbox output shaft seal failed, letting oil contaminate the cooling deck.",wear_and_tear,cooling tower fan gearbox output shaft seal failed letting oil contaminate the cooling deck,7
Weeping seal on hydraulic drive motor for conveyor belt B-4.,hydraulic_leak,weeping seal on hydraulic drive motor for conveyor belt b-4,3
"Vibration spike on motor 4 outboard bearing, check accelerometer mount.",sensor_malfunction,vibration spike on motor 4 outboard bearing check accelerometer mount,5
